K2 ID,Campaign,Object type,RA (J2000),Dec (J2000),Target Type,Investigation ID,KEP Mag,Kep Flag,Module,Output,Channel
integer,integer,substring,ra,dec,ustring,string,float,string,integer,integer,integer
210302627,4,STAR,03 53 18.200,+10 45 22.33,LC,GO4007_GO4029_GO4033,12.492,gri,16,4,56
210303168,4,STAR,03 53 24.868,+10 46 35.23,LC,GO4007_GO4029_GO4033_GO4082,12.627,gri,16,4,56
210303479,4,STAR,03 53 32.993,+10 47 16.25,LC,GO4007_GO4029_GO4033_GO4104,10.465,gri,16,4,56
210304352,4,STAR,03 53 44.779,+10 49 07.16,LC,GO4007_GO4029_GO4033,12.206,gri,16,4,56
210305942,4,STAR,03 53 51.054,+10 52 45.96,LC,GO4007_GO4020_GO4060,13.174,gri,16,4,56
210306475,4,STAR,03 54 22.406,+10 54 01.09,LC,GO4020_GO4089,11.388,gri,16,4,56
210307350,4,STAR,03 55 12.421,+10 55 52.22,LC,GO4020_GO4089,12.411,gri,16,4,56
210307378,4,STAR,03 52 55.938,+10 55 56.83,LC,GO4020,10.983,gri,16,4,56
210307958,4,STAR,03 54 19.339,+10 57 07.85,LC,GO4020,12.463,gri,16,4,56
210308588,4,STAR,03 53 46.446,+10 58 22.71,LC,GO4060,14.937,gri,16,4,56
210309091,4,STAR,03 54 06.210,+10 59 27.12,LC,GO4089,13.054,gri,16,4,56
210310009,4,STAR,03 53 49.070,+11 01 14.69,LC,GO4007_GO4029_GO4033,12.881,gri,16,4,56
210310510,4,STAR,03 53 05.399,+11 02 11.72,LC,GO4006_GO4011_GO4020_GO4060,13.860,gri,16,4,56
210311067,4,STAR,03 54 18.018,+11 03 19.43,LC,GO4020_GO4089,13.318,gri,16,4,56
210311375,4,STAR,03 54 24.343,+11 03 57.38,LC,GO4011_GO4046,15.325,JHK,16,4,56
210311597,4,STAR,03 52 42.496,+11 04 24.71,LC,GO4007_GO4033,12.153,gri,16,4,56
210312506,4,STAR,03 52 41.509,+11 06 13.90,LC,GO4007_GO4029_GO4033_GO4104,11.998,gri,16,4,56
210312900,4,STAR,03 52 45.898,+11 07 01.01,LC,GO4007_GO4020_GO4029_GO4033_GO4046_GO4060,12.154,gri,16,4,56
210312949,4,STAR,03 55 46.589,+11 07 06.66,LC,GO4007_GO4029_GO4033_GO4046_GO4082_GO4104_GO4106,11.444,gri,16,4,56
210312956,4,STAR,03 56 25.318,+11 07 07.06,LC,GO4011_GO4097,15.644,JHK,16,4,56
